mu,s0,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5
0.134467,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40576e+07,5.7931e+06,0,9.56418e+08,9.96269e+08,7.97015e+08,1.99254e+08,-621.131,0,nan,0,0,-3.40576e+07,-621.131,50,54831.7,1.0000,0.9995,1.0000,1.0000,0.9998,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.170634,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40583e+07,5.79335e+06,0,9.56439e+08,9.96291e+08,7.97033e+08,1.99258e+08,-621.143,0,nan,0,0,-3.40583e+07,-621.143,50,54831.7,1.0000,0.9999,0.9996,0.9997,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.216527,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40582e+07,5.79334e+06,0,9.56438e+08,9.9629e+08,7.97032e+08,1.99258e+08,-621.142,0,nan,0,0,-3.40582e+07,-621.142,50,54831.7,1.0000,1.0000,1.0000,1.0000,0.9998,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.274765,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40581e+07,5.79327e+06,0,9.56432e+08,9.96284e+08,7.97027e+08,1.99257e+08,-621.139,0,nan,0,0,-3.40581e+07,-621.139,50,54831.7,1.0000,0.9994,1.0000,1.0000,0.9998,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.348666,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40579e+07,5.79321e+06,0,9.56427e+08,9.96278e+08,7.97022e+08,1.99256e+08,-621.136,0,nan,0,0,-3.40579e+07,-621.136,50,54831.7,1.0000,0.9998,0.9995,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.442443,0.0344828,race_to_bottom,-1.0000,1.0000,0.0000,0.000,-3.40579e+07,5.7932e+06,0,9.56426e+08,9.96277e+08,7.97021e+08,1.99255e+08,-621.135,0,nan,0,0,-3.40579e+07,-621.135,50,54831.7,1.0000,1.0000,1.0000,1.0000,0.9998,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.561443,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40582e+07,5.79333e+06,0,9.56437e+08,9.96289e+08,7.97031e+08,1.99258e+08,-621.142,0,nan,0,0,-3.40582e+07,-621.142,50,54831.7,1.0000,0.9998,0.9998,0.9999,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.71245,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40583e+07,5.79356e+06,0,9.56444e+08,9.96296e+08,7.97037e+08,1.99259e+08,-621.143,0,nan,0,0,-3.40583e+07,-621.143,50,54831.7,1.0000,0.9999,1.0000,0.9995,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.904071,0.0344828,race_to_bottom,-0.9998,0.9998,0.0000,0.000,-3.40578e+07,5.79339e+06,0,9.5643e+08,9.96281e+08,7.97025e+08,1.99256e+08,-621.135,0,nan,0,0,-3.40578e+07,-621.135,50,54831.7,1.0000,0.9993,1.0000,0.9997,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.14723,0.0344828,race_to_bottom,-1.0000,1.0000,0.0000,0.000,-3.40574e+07,5.793e+06,0,9.56409e+08,9.96259e+08,7.97008e+08,1.99252e+08,-621.126,0,nan,0,0,-3.40574e+07,-621.126,50,54831.7,1.0000,0.9999,1.0000,1.0000,0.9999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.45579,0.0344828,race_to_bottom,-0.9998,0.9998,0.0000,0.000,-3.40566e+07,5.79289e+06,0,9.56387e+08,9.96236e+08,7.96989e+08,1.99247e+08,-621.111,0,nan,0,0,-3.40566e+07,-621.111,50,54831.7,1.0000,0.9999,0.9997,0.9998,0.9993,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.84734,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40575e+07,5.79344e+06,0,9.56422e+08,9.96273e+08,7.97018e+08,1.99255e+08,-621.128,0,nan,0,0,-3.40575e+07,-621.128,50,54831.7,1.0000,0.9996,0.9997,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.3442,0.0344828,race_to_bottom,-0.9964,0.9998,0.0034,0.000,-3.40272e+07,5.78498e+06,6392.2,9.55646e+08,9.95465e+08,7.96372e+08,1.99093e+08,-620.576,-237103,-1238.1,0.170833,187.341,-3.37901e+07,-618.314,49.8292,54644.3,1.0000,0.9994,0.9999,1.0000,0.9999,0.9997,0.0000,0.0203,0.0000,0.0000,0.0000,0.0000
2.9747,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40489e+07,5.79057e+06,0,9.56147e+08,9.95986e+08,7.96789e+08,1.99197e+08,-620.971,0,nan,0,0,-3.40489e+07,-620.971,50,54831.7,1.0000,0.9998,0.9996,1.0000,0.9999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.77478,0.0344828,race_to_bottom,-0.9949,0.9999,0.0049,0.000,-3.4003e+07,5.77636e+06,7348.14,9.5488e+08,9.94667e+08,7.95733e+08,1.98933e+08,-620.134,-510263,-1727.8,0.241667,265.02,-3.34927e+07,-613.573,49.7583,54566.6,1.0000,0.9996,0.9997,1.0000,1.0000,0.9998,0.0000,0.0295,0.0000,0.0000,0.0000,0.0000
4.79005,0.0344828,race_to_bottom,-0.9998,0.9998,0.0000,0.000,-3.39882e+07,5.76675e+06,0,9.5412e+08,9.93875e+08,7.951e+08,1.98775e+08,-619.865,0,nan,0,0,-3.39882e+07,-619.865,50,54831.7,1.0000,0.9998,1.0000,0.9995,0.9996,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.07839,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.38873e+07,5.72984e+06,0,9.50869e+08,9.90487e+08,7.92389e+08,1.98097e+08,-618.024,0,nan,0,0,-3.38873e+07,-618.024,50,54831.7,1.0000,0.9998,1.0000,1.0000,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7.71324,0.0344828,race_to_bottom,-0.9953,0.9997,0.0044,0.000,-3.3764e+07,5.68933e+06,7203.31,9.47166e+08,9.86626e+08,7.89301e+08,1.97325e+08,-615.776,-432525,-1555.43,0.225,246.742,-3.33315e+07,-610.457,49.775,54584.9,1.0000,0.9999,1.0000,0.9996,0.9994,0.9993,0.0000,0.0267,0.0000,0.0000,0.0000,0.0000
9.7878,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.36359e+07,5.64155e+06,0,9.4266e+08,9.81938e+08,7.8555e+08,1.96388e+08,-613.44,0,nan,0,0,-3.36359e+07,-613.44,50,54831.7,1.0000,1.0000,1.0000,0.9999,0.9995,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12.4203,0.0344828,race_to_bottom,-0.9997,0.9997,0.0000,0.000,-3.20531e+07,5.29704e+06,0,8.96449e+08,9.33799e+08,7.47039e+08,1.8676e+08,-584.573,0,nan,0,0,-3.20531e+07,-584.573,50,54831.7,1.0000,1.0000,1.0000,1.0000,0.9996,0.9984,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15.7609,0.0344828,race_to_bottom,-0.9378,0.9491,0.0113,0.000,2.44759e+07,4.81685e+06,5195.64,8.4749e+08,8.27836e+08,6.62269e+08,1.65567e+08,446.382,2.84817e+06,5637.29,0.566667,621.425,2.16277e+07,399.596,49.4333,54210.2,0.9836,0.8918,0.9590,0.9313,0.9705,0.9583,0.0000,0.0260,0.0000,0.0000,0.0416,0.0000
20,0.0344828,race_to_bottom,-0.7136,0.7136,0.0000,0.000,2.21716e+08,4.207e+06,0,7.93902e+08,5.76393e+08,4.61115e+08,1.15279e+08,4043.57,0,nan,0,0,2.21716e+08,4043.57,50,54831.7,0.7526,0.6461,0.6885,0.8163,0.7100,0.6681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.02,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40504e+07,5.79034e+06,0,9.56178e+08,9.96019e+08,7.96815e+08,1.99204e+08,-620.999,0,nan,0,0,-3.40504e+07,-620.999,50,54831.7,1.0000,1.0000,1.0000,0.9998,0.9999,0.9996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0253792,0.0689655,race_to_bottom,-1.0000,1.0000,0.0000,0.000,-3.4052e+07,5.79096e+06,0,9.56232e+08,9.96075e+08,7.9686e+08,1.99215e+08,-621.029,0,nan,0,0,-3.4052e+07,-621.029,50,54831.7,1.0000,0.9999,1.0000,1.0000,1.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0322052,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40545e+07,5.79191e+06,0,9.56314e+08,9.96161e+08,7.96929e+08,1.99232e+08,-621.074,0,nan,0,0,-3.40545e+07,-621.074,50,54831.7,1.0000,0.9995,1.0000,0.9999,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0408672,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40557e+07,5.79236e+06,0,9.56354e+08,9.96202e+08,7.96962e+08,1.9924e+08,-621.096,0,nan,0,0,-3.40557e+07,-621.096,50,54831.7,1.0000,1.0000,1.0000,0.9997,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0518589,0.0689655,race_to_bottom,-0.9998,0.9998,0.0000,0.000,-3.40555e+07,5.79228e+06,0,9.56347e+08,9.96194e+08,7.96956e+08,1.99239e+08,-621.092,0,nan,0,0,-3.40555e+07,-621.092,50,54831.7,1.0000,0.9995,0.9997,0.9999,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0658069,0.0689655,race_to_bottom,-0.9998,0.9998,0.0000,0.000,-3.40568e+07,5.79279e+06,0,9.56391e+08,9.9624e+08,7.96992e+08,1.99248e+08,-621.116,0,nan,0,0,-3.40568e+07,-621.116,50,54831.7,1.0000,0.9999,1.0000,0.9994,0.9999,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0835064,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40574e+07,5.79302e+06,0,9.56411e+08,9.96262e+08,7.97009e+08,1.99252e+08,-621.127,0,nan,0,0,-3.40574e+07,-621.127,50,54831.7,1.0000,0.9999,0.9997,0.9998,0.9998,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.105966,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40578e+07,5.79315e+06,0,9.56422e+08,9.96273e+08,7.97018e+08,1.99255e+08,-621.133,0,nan,0,0,-3.40578e+07,-621.133,50,54831.7,1.0000,0.9998,1.0000,0.9998,1.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.134467,0.0689655,race_to_bottom,-0.9998,0.9998,0.0000,0.000,-3.40577e+07,5.79312e+06,0,9.56419e+08,9.9627e+08,7.97016e+08,1.99254e+08,-621.132,0,nan,0,0,-3.40577e+07,-621.132,50,54831.7,1.0000,0.9995,0.9996,1.0000,0.9998,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.170634,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40583e+07,5.79335e+06,0,9.56439e+08,9.96291e+08,7.97032e+08,1.99258e+08,-621.143,0,nan,0,0,-3.40583e+07,-621.143,50,54831.7,1.0000,0.9999,1.0000,0.9997,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
