mu,s0,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5
0.904071,0.137931,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.0506e+08,5.79419e+06,0,1.19559e+09,9.96327e+08,7.97062e+08,1.99265e+08,3739.8,0,nan,0,0,2.0506e+08,3739.8,50,54831.7,1.0000,1.0000,1.0000,1.0000,1.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.14723,0.137931,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05054e+08,5.79447e+06,0,1.19556e+09,9.96299e+08,7.9704e+08,1.9926e+08,3739.71,0,nan,0,0,2.05054e+08,3739.71,50,54831.7,1.0000,1.0000,0.9999,0.9996,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.45579,0.137931,race_to_bottom,-0.9949,0.9998,0.0049,0.000,2.04914e+08,5.7874e+06,7461.99,1.19472e+09,9.95598e+08,7.96478e+08,1.9912e+08,3737.16,90468.7,811.767,0.25,274.158,2.04824e+08,3754.78,49.75,54557.5,1.0000,0.9998,1.0000,1.0000,0.9996,0.9994,0.0000,0.0294,0.0000,0.0000,0.0000,0.0000
1.84734,0.137931,race_to_bottom,-0.9908,1.0000,0.0091,0.000,2.04768e+08,5.77991e+06,14440,1.19384e+09,9.9487e+08,7.95896e+08,1.98974e+08,3734.49,355860,1203.86,0.458333,502.624,2.04412e+08,3763.17,49.5417,54329,1.0000,1.0000,1.0000,0.9999,1.0000,1.0000,0.0273,0.0276,0.0000,0.0000,0.0000,0.0000
2.3442,0.137931,race_to_bottom,-0.9960,0.9998,0.0037,0.000,2.04966e+08,5.78654e+06,6665.47,1.19466e+09,9.95485e+08,7.96388e+08,1.99097e+08,3738.09,365352,2046.4,0.195833,214.757,2.046e+08,3746.31,49.8042,54616.9,0.9994,0.9997,1.0000,0.9999,0.9997,0.9998,0.0225,0.0000,0.0000,0.0000,0.0000,0.0000
2.9747,0.137931,race_to_bottom,-0.9962,0.9998,0.0036,0.000,2.04882e+08,5.78553e+06,6527.95,1.19454e+09,9.95447e+08,7.96358e+08,1.99089e+08,3736.56,394180,2186.47,0.175,191.911,2.04487e+08,3742.56,49.825,54639.7,1.0000,0.9996,1.0000,1.0000,1.0000,0.9993,0.0215,0.0000,0.0000,0.0000,0.0000,0.0000
3.77478,0.137931,race_to_bottom,-0.9953,0.9999,0.0047,0.000,2.04731e+08,5.77814e+06,7315.01,1.19368e+09,9.9473e+08,7.95784e+08,1.98946e+08,3733.82,169724,1165.13,0.233333,255.881,2.04562e+08,3748.62,49.7667,54575.8,1.0000,0.9999,1.0000,1.0000,1.0000,0.9996,0.0280,0.0000,0.0000,0.0000,0.0000,0.0000
4.79005,0.137931,race_to_bottom,-0.9952,0.9999,0.0046,0.000,2.04419e+08,5.76213e+06,7317.52,1.19189e+09,9.93245e+08,7.94596e+08,1.98649e+08,3728.11,171138,1170.76,0.233333,255.881,2.04247e+08,3742.86,49.7667,54575.8,1.0000,0.9997,1.0000,0.9998,0.9998,1.0000,0.0278,0.0000,0.0000,0.0000,0.0000,0.0000
6.07839,0.137931,race_to_bottom,-0.9957,0.9998,0.0040,0.000,2.03857e+08,5.73195e+06,6864.99,1.1887e+09,9.90584e+08,7.92467e+08,1.98117e+08,3717.88,302064,1768.04,0.2,219.327,2.03555e+08,3727.49,49.8,54612.3,1.0000,0.9994,1.0000,0.9998,0.9994,1.0000,0.0242,0.0000,0.0000,0.0000,0.0000,0.0000
7.71324,0.137931,race_to_bottom,-0.9922,0.9999,0.0077,0.000,2.02966e+08,5.68661e+06,13483.4,1.18358e+09,9.86315e+08,7.89052e+08,1.97263e+08,3701.63,644577,1857.79,0.3875,424.945,2.02322e+08,3719,49.6125,54406.7,1.0000,1.0000,1.0000,0.9999,1.0000,0.9995,0.0220,0.0242,0.0000,0.0000,0.0000,0.0000
