mu,tau,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5
0.274765,0.0344828,race_to_bottom,-0.9781,0.9981,0.0200,0.000,2.06349e+08,5.75502e+06,33613.5,1.19116e+09,9.906e+08,7.9248e+08,1.9812e+08,3763.31,4.19995e+06,4499.68,1,1096.63,2.02149e+08,3762.09,49,53735,1.0000,0.9999,0.9924,1.0000,0.9962,1.0000,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.348666,0.0344828,race_to_bottom,-0.9761,0.9961,0.0200,0.000,2.07366e+08,5.75484e+06,31365.4,1.19115e+09,9.89573e+08,7.91659e+08,1.97915e+08,3781.87,5.05336e+06,5667.06,1,1096.63,2.02313e+08,3765.15,49,53735,1.0000,0.9994,0.9825,1.0000,0.9946,1.0000,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.442443,0.0344828,race_to_bottom,-0.9791,0.9961,0.0170,0.000,2.07935e+08,5.76216e+06,24084.1,1.19197e+09,9.89826e+08,7.91861e+08,1.97965e+08,3792.24,4.92719e+06,5464.34,0.85,932.138,2.03008e+08,3766.97,49.15,53899.5,1.0000,0.9996,0.9834,1.0000,0.9933,1.0000,0.0000,0.0000,0.0419,0.0400,0.0200,0.0000
0.561443,0.0344828,race_to_bottom,-0.9715,0.9951,0.0236,0.000,2.08211e+08,5.74786e+06,35650,1.19031e+09,9.87885e+08,7.90308e+08,1.97577e+08,3797.28,6.26551e+06,5249.51,1.17917,1293.11,2.01946e+08,3772.41,48.8208,53538.5,1.0000,1.0000,0.9803,1.0000,0.9904,1.0000,0.0400,0.0000,0.0418,0.0400,0.0200,0.0000
0.71245,0.0344828,race_to_bottom,-0.9684,0.9958,0.0274,0.000,2.0766e+08,5.74175e+06,43328.7,1.18954e+09,9.87664e+08,7.90131e+08,1.97533e+08,3787.23,6.30244e+06,4411.19,1.36667,1498.73,2.01358e+08,3776.18,48.6333,53332.9,1.0000,0.9998,0.9822,0.9960,0.9967,1.0000,0.0400,0.0000,0.0410,0.0632,0.0200,0.0000
0.904071,0.0344828,race_to_bottom,-0.9694,0.9948,0.0254,0.000,2.08157e+08,5.74334e+06,36401,1.18973e+09,9.87349e+08,7.89879e+08,1.9747e+08,3796.29,5.93796e+06,5050.89,1.275,1398.21,2.02219e+08,3784.67,48.725,53433.5,1.0000,0.9994,0.9809,0.9997,0.9889,1.0000,0.0213,0.0289,0.0200,0.0400,0.0200,0.0223
1.14723,0.0344828,race_to_bottom,-0.9667,0.9950,0.0284,0.000,2.07811e+08,5.7411e+06,43316.8,1.18947e+09,9.87441e+08,7.89953e+08,1.97488e+08,3789.97,6.23269e+06,4709.04,1.41667,1553.56,2.01578e+08,3784.38,48.5833,53278.1,0.9912,1.0000,0.9798,0.9994,1.0000,0.9998,0.0672,0.0000,0.0200,0.0400,0.0200,0.0232
1.45579,0.0344828,race_to_bottom,-0.9589,0.9941,0.0352,0.000,2.08119e+08,5.72476e+06,49614.4,1.18756e+09,9.85215e+08,7.88172e+08,1.97043e+08,3795.59,6.64631e+06,3830.96,1.75833,1928.25,2.01472e+08,3814.12,48.2417,52903.4,1.0000,0.9997,0.9704,0.9998,0.9945,1.0000,0.0000,0.0000,0.1091,0.0820,0.0200,0.0000
1.84734,0.0344828,race_to_bottom,-0.9551,0.9935,0.0384,0.000,2.0826e+08,5.72143e+06,55266.8,1.18712e+09,9.84637e+08,7.87709e+08,1.96927e+08,3798.18,7.22112e+06,4497.17,1.9125,2097.31,2.01039e+08,3815.12,48.0875,52734.3,1.0000,0.9998,0.9856,0.9758,1.0000,0.9998,0.0000,0.0505,0.0200,0.1090,0.0508,0.0000
2.3442,0.0344828,race_to_bottom,-0.9708,0.9940,0.0232,0.000,2.08826e+08,5.74784e+06,28673.9,1.19023e+09,9.87182e+08,7.89746e+08,1.97436e+08,3808.5,5.79319e+06,4336.64,1.1625,1274.84,2.03033e+08,3793.93,48.8375,53556.8,1.0000,0.9999,0.9688,0.9999,0.9955,1.0000,0.0000,0.0000,0.0794,0.0400,0.0200,0.0000
2.9747,0.0344828,race_to_bottom,-0.9692,0.9949,0.0256,0.000,2.07964e+08,5.74123e+06,36420,1.1894e+09,9.87218e+08,7.89774e+08,1.97444e+08,3792.76,5.74976e+06,4960.27,1.28333,1407.35,2.02214e+08,3785.87,48.7167,53424.3,1.0000,0.9999,0.9804,0.9939,0.9952,0.9997,0.0000,0.0238,0.0200,0.0651,0.0200,0.0248
