mu,s0,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5
0.0408672,0.931034,green_club,0.9996,0.0004,1.0000,1.000,9.41655e+08,4.399e+06,283.581,9.37374e+08,118159,94527,23631.8,17173.6,9.41655e+08,17173.6,50,54831.7,0,nan,0,0,0.0002,0.0004,0.0004,0.0005,0.0011,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.0518589,0.931034,green_club,0.9999,0.0001,1.0000,1.000,9.42479e+08,4.40561e+06,144.329,9.38133e+08,60136.9,48109.5,12027.4,17188.6,9.42479e+08,17188.6,50,54831.7,0,nan,0,0,0.0000,0.0003,0.0000,0.0004,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.0658069,0.931034,green_club,0.9999,0.0001,1.0000,1.000,9.42374e+08,4.40457e+06,83.4937,9.38004e+08,34789,27831.2,6957.81,17186.7,9.42374e+08,17186.7,50,54831.7,0,nan,0,0,0.0001,0.0004,0.0000,0.0001,0.0002,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.0835064,0.931034,green_club,0.9999,0.0001,1.0000,1.000,9.43115e+08,4.41079e+06,44.7014,9.38722e+08,18625.6,14900.5,3725.11,17200.2,9.43115e+08,17200.2,50,54831.7,0,nan,0,0,0.0000,0.0001,0.0003,0.0000,0.0003,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.105966,0.931034,green_club,0.9998,0.0002,1.0000,1.000,9.43057e+08,4.41066e+06,146.425,9.38707e+08,61010.6,48808.5,12202.1,17199.1,9.43057e+08,17199.1,50,54831.7,0,nan,0,0,0.0001,0.0001,0.0004,0.0000,0.0005,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.134467,0.931034,green_club,0.9986,0.0014,1.0000,1.000,9.41047e+08,4.40085e+06,2282.93,9.37595e+08,951223,760978,190245,17162.5,9.41047e+08,17162.5,50,54831.7,0,nan,0,0,0.0002,0.0004,0.0070,0.0000,0.0006,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.170634,0.931034,green_club,0.9999,0.0001,1.0000,1.000,9.43294e+08,4.4127e+06,104.691,9.38925e+08,43621.1,34896.9,8724.22,17203.5,9.43294e+08,17203.5,50,54831.7,0,nan,0,0,0.0000,0.0003,0.0001,0.0000,0.0005,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.216527,0.931034,green_club,0.9999,0.0001,1.0000,1.000,9.43309e+08,4.41258e+06,30.8873,9.38909e+08,12869.7,10295.8,2573.94,17203.7,9.43309e+08,17203.7,50,54831.7,0,nan,0,0,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.274765,0.931034,green_club,0.9996,0.0004,1.0000,1.000,9.4264e+08,4.40865e+06,491.496,9.38435e+08,204790,163832,40958,17191.5,9.4264e+08,17191.5,50,54831.7,0,nan,0,0,0.0002,0.0004,0.0012,0.0001,0.0003,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.348666,0.931034,green_club,0.9999,0.0001,1.0000,1.000,9.41309e+08,4.39524e+06,39.0023,9.3693e+08,16251,13000.8,3250.19,17167.3,9.41309e+08,17167.3,50,54831.7,0,nan,0,0,0.0000,0.0001,0.0004,0.0002,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
