delta_c,t_ratio,g,leakage_mean,leakage_std,import_pen_mean,import_pen_std,price_cv_mean,price_cv_std,price_iqr_mean,price_iqr_std,n_active_mean,n_valid,leakage_ok,import_ok,price_cv_ok,all_pass
1.0,2.5,2.0,7.50197221220059,4.418185582040751,7.154431095964587,2.6187139176628587,10.2672783572902,0.6032315869746283,15.778577104063777,1.647539378316186,7.651999999999999,5,1,0,1,0
1.0,2.5,2.2,5.2482830595210554,3.524435736356021,4.729698881396905,2.111993213563695,10.443650764983191,0.5898280252390231,15.846064076503845,2.2640085260673515,7.651999999999999,5,1,0,1,0
1.0,2.5,2.3,4.2931671459288125,2.9156986602883084,3.887225677319711,1.8252408950223022,10.546345984003043,0.586432776777345,15.84753946191968,2.260542639017438,7.651999999999999,5,0,0,1,0
1.0,2.5,2.4,3.3256222382366047,2.282314239502556,3.135939122245636,1.5715842833699591,10.656667958846866,0.5871544871246952,15.8330365738176,2.2698115912908903,7.651999999999999,5,0,0,1,0
1.0,2.5,2.5,2.2973305236909267,1.5521199218232231,2.4952445052345182,1.3462959152338272,10.769810963979014,0.5912516592735302,15.80436546010551,2.280755074426401,7.651999999999999,5,0,0,1,0
1.0,3.0,0.3,21.91489192515879,9.335903523345381,60.44124687218304,3.1981956543391523,12.959469092279884,1.4287801745520954,14.663737782292582,1.6984906448342043,7.651999999999999,5,0,0,1,0
1.0,3.0,0.5,19.893688437532468,7.76729341169002,54.23883103381,3.1259305090748297,12.453713644555924,1.3297582888424104,14.707292909355198,2.1055003900271316,7.651999999999999,5,1,0,1,0
1.0,3.0,0.7,18.029972229283754,6.955729133945396,47.43003218338678,3.143298773319078,12.004499014989836,1.2315455088229468,15.126149916557972,2.102676758672942,7.651999999999999,5,1,0,1,0
1.0,3.0,1.0,15.555034845804295,6.96732288579483,36.466998149819275,3.3933587014117843,11.51691180388131,1.0949042362003352,16.234657146164817,1.861381163231354,7.651999999999999,5,1,0,1,0
1.0,3.0,1.3,13.12495221016314,6.541107157837811,25.533746452993036,3.7906701011939083,11.183806269721035,0.9407811619802904,16.89350412112507,1.6618911974902948,7.651999999999999,5,1,0,1,0
1.0,3.0,1.5,11.459054660678396,5.778850929144474,19.14685050969073,3.5063902861970386,11.060564897680901,0.8594748196281204,17.287036096654425,1.2800401180607175,7.651999999999999,5,1,0,1,0
1.0,3.0,2.0,6.412191094776901,3.7904087448099966,7.154431095964587,2.6187139176628587,11.228625044085542,0.6786800725853003,17.981498745833985,1.459730143557002,7.651999999999999,5,1,0,1,0
1.0,3.0,2.2,4.476198974021453,3.0103030395082433,4.729698881396905,2.111993213563695,11.447087859949585,0.6279173496143112,19.029849001184278,1.714081215257339,7.651999999999999,5,0,0,1,0
1.0,3.0,2.3,3.6480941393563677,2.4746017845451598,3.887225677319711,1.8252408950223022,11.565363873118448,0.6272930279493193,19.197780748738513,1.966266501789574,7.651999999999999,5,0,0,1,0
1.0,3.0,2.4,2.811110050900376,1.9223377139401505,3.135939122245636,1.5715842833699591,11.676996764588013,0.6332161479631307,19.228574382825116,2.1641751086614778,7.651999999999999,5,0,0,1,0
1.0,3.0,2.5,1.932765169847445,1.2962259435264012,2.4952445052345182,1.3462959152338272,11.796224180050725,0.6310031470473326,19.158872911019646,2.2024436665061926,7.651999999999999,5,0,0,1,0
1.0,3.5,0.3,21.50463332187,9.288661465455288,60.44124687218304,3.1981956543391523,13.63316740507978,1.7343202878402553,14.663737782292582,1.6984906448342043,7.651999999999999,5,0,0,1,0
1.0,3.5,0.5,19.50948337021715,7.738834467971805,54.23883103381,3.1259305090748297,13.12104562054051,1.6371411472297366,14.707292909355198,2.1055003900271316,7.651999999999999,5,1,0,1,0
1.0,3.5,0.7,17.688768876373263,6.947763544040946,47.43003218338678,3.143298773319078,12.71646703321706,1.522385019503378,15.126149916557972,2.102676758672942,7.651999999999999,5,1,0,1,0
1.0,3.5,1.0,15.229516950910275,6.979077680327152,36.466998149819275,3.3933587014117843,12.242009148987739,1.3489285235393458,16.234657146164817,1.861381163231354,7.651999999999999,5,1,0,1,0
1.0,3.5,1.3,12.772344247546076,6.548894855668104,25.533746452993036,3.7906701011939083,11.90692582558236,1.1699974278696108,16.89350412112507,1.6618911974902948,7.651999999999999,5,1,0,1,0
1.0,3.5,1.5,11.059792286008912,5.728059543145138,19.14685050969073,3.5063902861970386,11.786947400819344,1.0777405939364135,17.287036096654425,1.2800401180607175,7.651999999999999,5,1,0,1,0
1.0,3.5,2.0,5.912517632450204,3.500532371878916,7.154431095964587,2.6187139176628587,12.001238913451875,0.8366579837166072,18.818913425243558,1.7013213433846226,7.651999999999999,5,1,0,1,0
1.0,3.5,2.2,4.053693455145982,2.70731982409765,4.729698881396905,2.111993213563695,12.265311166264159,0.7441784949475969,20.307412100155865,1.9717410503832757,7.651999999999999,5,0,0,1,0
1.0,3.5,2.3,3.289183296009314,2.2128414478732585,3.887225677319711,1.8252408950223022,12.40205115851901,0.7207661253481344,21.182594418343683,2.0924379527607586,7.651999999999999,5,0,0,1,0
1.0,3.5,2.4,2.5259372884040316,1.7099084412819752,3.135939122245636,1.5715842833699591,12.553647274282076,0.7033471527024232,21.929145938368517,2.014112041129254,7.651999999999999,5,0,0,1,0
1.0,3.5,2.5,1.7300835600628148,1.1439564322625109,2.4952445052345182,1.3462959152338272,12.722447583993818,0.687553143323141,22.61692139503735,2.0049743276352276,7.651999999999999,5,0,0,1,0
1.0,4.0,0.3,21.271752085655812,9.255258177103716,60.44124687218304,3.1981956543391523,14.08104198795518,2.043950742390471,14.663737782292582,1.6984906448342043,7.651999999999999,5,0,0,1,0
1.0,4.0,0.5,19.29158262472861,7.726413948790683,54.23883103381,3.1259305090748297,13.597932381826997,1.939197086443011,14.707292909355198,2.1055003900271316,7.651999999999999,5,1,0,1,0
1.0,4.0,0.7,17.48739130837898,6.956427573936633,47.43003218338678,3.143298773319078,13.201145072866433,1.8356143120622912,15.126149916557972,2.102676758672942,7.651999999999999,5,1,0,1,0
1.0,4.0,1.0,15.062621767474763,6.984140116076823,36.466998149819275,3.3933587014117843,12.790549619029251,1.6484800554341386,16.234657146164817,1.861381163231354,7.651999999999999,5,1,0,1,0
1.0,4.0,1.3,12.617066838391063,6.539972728511034,25.533746452993036,3.7906701011939083,12.464142492122972,1.4480334743223262,16.89350412112507,1.6618911974902948,7.651999999999999,5,1,0,1,0
1.0,4.0,1.5,10.905122626427364,5.7190264892499965,19.14685050969073,3.5063902861970386,12.328824992569054,1.3363546381600089,17.287036096654425,1.2800401180607175,7.651999999999999,5,1,0,1,0
1.0,4.0,2.0,5.802941982478644,3.485978981338565,7.154431095964587,2.6187139176628587,12.53362982514887,1.0342804501698402,18.818913425243558,1.7013213433846226,7.651999999999999,5,1,0,1,0
1.0,4.0,2.2,3.947020788888493,2.660935457478238,4.729698881396905,2.111993213563695,12.809123093943976,0.9244517608657512,20.307412100155865,1.9717410503832757,7.651999999999999,5,0,0,1,0
1.0,4.0,2.3,3.180791731638434,2.152413369529563,3.887225677319711,1.8252408950223022,12.957582904414732,0.8902052651380351,21.182594418343683,2.0924379527607586,7.651999999999999,5,0,0,1,0
1.0,4.0,2.4,2.424805861298881,1.6442049799123981,3.135939122245636,1.5715842833699591,13.125420719885488,0.8633118722967179,21.967607476830054,2.0869274057203033,7.651999999999999,5,0,0,1,0
1.0,4.0,2.5,1.6464485159587199,1.084841561769201,2.4952445052345182,1.3462959152338272,13.312416130955985,0.8390493812716726,22.7130752411912,2.1834239956006334,7.651999999999999,5,0,0,1,0
1.0,4.5,0.3,21.18423717837876,9.284681913015776,60.44124687218304,3.1981956543391523,14.332176379234102,2.292022672309142,14.663737782292582,1.6984906448342043,7.651999999999999,5,0,0,1,0
1.0,4.5,0.5,19.202243976429923,7.752196529045475,54.23883103381,3.1259305090748297,13.87756525172882,2.205922989634762,14.707292909355198,2.1055003900271316,7.651999999999999,5,1,0,1,0
1.0,4.5,0.7,17.40108021764077,6.971282192330933,47.43003218338678,3.143298773319078,13.518781683895872,2.1030943825622317,15.126149916557972,2.102676758672942,7.651999999999999,5,1,0,1,0
1.0,4.5,1.0,14.9821826876762,6.985981797499868,36.466998149819275,3.3933587014117843,13.115406454789063,1.932075993672409,16.234657146164817,1.861381163231354,7.651999999999999,5,1,0,1,0
1.0,4.5,1.3,12.552630683978999,6.532939649763014,25.533746452993036,3.7906701011939083,12.85310124497489,1.7248905692484344,16.89350412112507,1.6618911974902948,7.651999999999999,5,1,0,1,0
1.0,4.5,1.5,10.841639625332878,5.7075390393742005,19.14685050969073,3.5063902861970386,12.730771934261561,1.602932810984484,17.287036096654425,1.2800401180607175,7.651999999999999,5,1,0,1,0
1.0,4.5,2.0,5.7569615890371155,3.4685291878492888,7.154431095964587,2.6187139176628587,12.923205393635332,1.270960692255808,18.818913425243558,1.7013213433846226,7.651999999999999,5,1,0,1,0
1.0,4.5,2.2,3.913289201797584,2.6508970693641705,4.729698881396905,2.111993213563695,13.191947618601205,1.1414009084700474,20.307412100155865,1.9717410503832757,7.651999999999999,5,0,0,1,0
