tau_BA,s0,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5
0.724138,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05045e+08,5.79303e+06,0,1.19551e+09,9.96262e+08,7.9701e+08,1.99252e+08,3739.55,0,nan,0,0,2.05045e+08,3739.55,50,54831.7,1.0000,0.9996,0.9999,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.758621,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05045e+08,5.793e+06,0,1.19551e+09,9.96259e+08,7.97007e+08,1.99252e+08,3739.53,0,nan,0,0,2.05045e+08,3739.53,50,54831.7,1.0000,0.9996,0.9999,1.0000,0.9999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.793103,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05049e+08,5.79338e+06,0,1.19554e+09,9.9628e+08,7.97024e+08,1.99256e+08,3739.62,0,nan,0,0,2.05049e+08,3739.62,50,54831.7,1.0000,0.9997,0.9999,1.0000,0.9999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.827586,0.0344828,race_to_bottom,-0.9998,0.9998,0.0000,0.000,2.05048e+08,5.79328e+06,0,1.19553e+09,9.96271e+08,7.97017e+08,1.99254e+08,3739.58,0,nan,0,0,2.05048e+08,3739.58,50,54831.7,1.0000,0.9997,0.9999,0.9996,0.9994,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.862069,0.0344828,race_to_bottom,-0.9998,0.9998,0.0000,0.000,2.05051e+08,5.79344e+06,0,1.19554e+09,9.96286e+08,7.97029e+08,1.99257e+08,3739.64,0,nan,0,0,2.05051e+08,3739.64,50,54831.7,1.0000,0.9996,0.9999,1.0000,0.9994,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.896552,0.0344828,race_to_bottom,-0.9998,0.9998,0.0000,0.000,2.05051e+08,5.79346e+06,0,1.19554e+09,9.96287e+08,7.9703e+08,1.99257e+08,3739.65,0,nan,0,0,2.05051e+08,3739.65,50,54831.7,1.0000,0.9996,0.9999,1.0000,0.9994,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.931034,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05052e+08,5.79353e+06,0,1.19555e+09,9.96294e+08,7.97035e+08,1.99259e+08,3739.67,0,nan,0,0,2.05052e+08,3739.67,50,54831.7,1.0000,0.9996,0.9999,1.0000,0.9999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.965517,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05052e+08,5.79353e+06,0,1.19555e+09,9.96294e+08,7.97035e+08,1.99259e+08,3739.67,0,nan,0,0,2.05052e+08,3739.67,50,54831.7,1.0000,0.9996,0.9999,1.0000,0.9999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.0505e+08,5.79343e+06,0,1.19554e+09,9.96285e+08,7.97028e+08,1.99257e+08,3739.63,0,nan,0,0,2.0505e+08,3739.63,50,54831.7,1.0000,0.9998,0.9999,1.0000,0.9999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05016e+08,5.79212e+06,0,1.19534e+09,9.96118e+08,7.96895e+08,1.99224e+08,3739,0,nan,0,0,2.05016e+08,3739,50,54831.7,1.0000,1.0000,1.0000,0.9999,0.9995,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0344828,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05036e+08,5.79301e+06,0,1.19546e+09,9.96217e+08,7.96974e+08,1.99243e+08,3739.38,0,nan,0,0,2.05036e+08,3739.38,50,54831.7,1.0000,1.0000,0.9997,0.9999,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0689655,0.0689655,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05045e+08,5.79357e+06,0,1.19551e+09,9.96256e+08,7.97004e+08,1.99251e+08,3739.53,0,nan,0,0,2.05045e+08,3739.53,50,54831.7,1.0000,1.0000,1.0000,0.9999,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.103448,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05039e+08,5.79313e+06,0,1.19547e+09,9.96229e+08,7.96983e+08,1.99246e+08,3739.43,0,nan,0,0,2.05039e+08,3739.43,50,54831.7,1.0000,1.0000,0.9997,0.9999,1.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.137931,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05051e+08,5.79346e+06,0,1.19554e+09,9.96287e+08,7.97029e+08,1.99257e+08,3739.64,0,nan,0,0,2.05051e+08,3739.64,50,54831.7,1.0000,1.0000,0.9997,0.9999,0.9999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.172414,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05048e+08,5.79345e+06,0,1.19553e+09,9.96272e+08,7.97018e+08,1.99254e+08,3739.59,0,nan,0,0,2.05048e+08,3739.59,50,54831.7,1.0000,1.0000,0.9997,0.9999,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.206897,0.0689655,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05041e+08,5.79339e+06,0,1.19549e+09,9.96239e+08,7.96991e+08,1.99248e+08,3739.47,0,nan,0,0,2.05041e+08,3739.47,50,54831.7,1.0000,1.0000,0.9998,0.9999,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.241379,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05037e+08,5.79301e+06,0,1.19546e+09,9.96218e+08,7.96974e+08,1.99244e+08,3739.38,0,nan,0,0,2.05037e+08,3739.38,50,54831.7,1.0000,1.0000,0.9998,0.9999,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.275862,0.0689655,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05052e+08,5.7935e+06,0,1.19555e+09,9.96291e+08,7.97033e+08,1.99258e+08,3739.66,0,nan,0,0,2.05052e+08,3739.66,50,54831.7,1.0000,1.0000,1.0000,0.9996,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.310345,0.0689655,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.0505e+08,5.79355e+06,0,1.19554e+09,9.96281e+08,7.97025e+08,1.99256e+08,3739.62,0,nan,0,0,2.0505e+08,3739.62,50,54831.7,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.344828,0.0689655,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05022e+08,5.79217e+06,0,1.19538e+09,9.9615e+08,7.9692e+08,1.9923e+08,3739.12,0,nan,0,0,2.05022e+08,3739.12,50,54831.7,1.0000,0.9999,1.0000,1.0000,1.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
