mu,tau_BA,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5
3.77478,0.0689655,race_to_bottom,-0.9568,0.9917,0.0349,0.000,2.09787e+08,5.72107e+06,45440.8,1.18723e+09,9.83205e+08,7.86564e+08,1.96641e+08,3826.02,8.0773e+06,3856.27,1.73333,1900.83,2.0171e+08,3813.41,48.2667,52930.8,1.0000,0.9997,0.9621,0.9999,0.9887,0.9999,0.0312,0.0000,0.0697,0.0400,0.0686,0.0000
4.79005,0.0689655,race_to_bottom,-0.9727,0.9930,0.0203,0.000,2.08929e+08,5.73266e+06,26339.5,1.1885e+09,9.85329e+08,7.88263e+08,1.97066e+08,3810.37,6.65975e+06,5354.23,1.00833,1105.77,2.02269e+08,3766.02,48.9917,53725.9,1.0000,1.0000,0.9640,1.0000,0.9942,0.9997,0.0000,0.0000,0.0617,0.0400,0.0200,0.0000
6.07839,0.0689655,race_to_bottom,-0.9406,0.9932,0.0526,0.000,2.07055e+08,5.63878e+06,81403,1.17791e+09,9.76578e+08,7.81262e+08,1.95316e+08,3776.19,9.22333e+06,3399.97,2.63333,2887.8,1.97831e+08,3811.13,47.3667,51943.9,1.0000,0.9997,0.9782,0.9813,1.0000,1.0000,0.0474,0.0000,0.0419,0.1096,0.0891,0.0277
7.71324,0.0689655,race_to_bottom,-0.9360,0.9945,0.0585,0.000,2.05603e+08,5.59343e+06,89533.4,1.17285e+09,9.72925e+08,7.7834e+08,1.94585e+08,3749.71,8.58251e+06,2816.15,2.93333,3216.79,1.97021e+08,3819.91,47.0667,51614.9,1.0000,0.9998,0.9676,1.0000,0.9998,0.9996,0.0278,0.0000,0.0642,0.1105,0.0867,0.0618
9.7878,0.0689655,race_to_bottom,-0.9442,0.9881,0.0439,0.000,2.08651e+08,5.5228e+06,50708,1.16274e+09,9.59659e+08,7.67727e+08,1.91932e+08,3805.3,1.07839e+07,5701,2.20833,2421.73,1.97867e+08,3785.44,47.7917,52409.9,0.9972,0.9848,0.9827,0.9640,1.0000,1.0000,0.0400,0.0272,0.0200,0.1560,0.0200,0.0000
12.4203,0.0689655,race_to_bottom,-0.9573,0.9950,0.0377,0.000,1.97898e+08,5.34246e+06,53666.5,1.13709e+09,9.44591e+08,7.55673e+08,1.88918e+08,3609.18,5.0204e+06,3162.42,1.89167,2074.46,1.92877e+08,3658.63,48.1083,52757.2,1.0000,0.9996,0.9823,0.9972,0.9926,0.9984,0.0000,0.0229,0.0439,0.0688,0.0200,0.0706
15.7609,0.0689655,race_to_bottom,-0.7575,0.8440,0.0866,0.000,2.94774e+08,4.69762e+06,35786,1.05588e+09,7.65835e+08,6.12668e+08,1.53167e+08,5375.98,4.65683e+07,11422.1,4.30833,4724.66,2.48206e+08,4976.5,45.6917,50107,0.7952,0.8143,0.8280,0.7538,0.9057,0.9673,0.1764,0.0708,0.1159,0.0890,0.0674,0.0000
20,0.0689655,transitional,0.3144,0.2927,0.6071,0.500,7.21148e+08,4.2614e+06,56955.7,1.01877e+09,3.01936e+08,2.41549e+08,6.03873e+07,13152,5.22999e+08,14555.9,30.4167,33355.9,1.98149e+08,9877.52,19.5833,21475.7,0.1273,0.4778,0.5619,0.0842,0.3718,0.1331,0.7868,0.2919,0.2525,0.9327,0.4857,0.8933
0.02,0.103448,race_to_bottom,-0.6560,0.8360,0.1800,0.167,3.41854e+08,5.52213e+06,33878.4,1.16543e+09,8.29133e+08,6.63307e+08,1.65827e+08,6234.61,1.71523e+08,6513.72,9,9869.7,1.70331e+08,5254.65,41,44962,1.0000,1.0000,0.0167,0.9997,1.0000,0.9995,0.0400,0.0000,0.9800,0.0400,0.0200,0.0000
0.0253792,0.103448,race_to_bottom,-0.6458,0.8292,0.1833,0.167,3.46584e+08,5.51847e+06,26192.1,1.16498e+09,8.23936e+08,6.59149e+08,1.64787e+08,6320.88,1.7641e+08,10023,9.16667,10052.5,1.70175e+08,4560.24,40.8333,44779.2,0.9967,0.9998,0.9860,0.0211,0.9715,1.0000,0.0400,0.0000,0.0200,0.9800,0.0600,0.0000
0.0322052,0.103448,race_to_bottom,-0.6482,0.8315,0.1833,0.167,3.45864e+08,5.51899e+06,27661.5,1.16504e+09,8.24718e+08,6.59775e+08,1.64944e+08,6307.75,1.75794e+08,9389.77,9.16667,10052.5,1.7007e+08,4567.18,40.8333,44779.2,0.0286,0.9997,0.9916,1.0000,0.9694,0.9999,0.9800,0.0000,0.0200,0.0400,0.0600,0.0000
