mu,lam,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,s_seed0,s_seed1,s_seed2,s_seed3
0.0408672,0.114442,green_club,0.8283,0.1236,0.9519,0.750,9.64347e+08,4.37233e+06,69818.9,1.03778e+09,7.7873e+07,6.22984e+07,1.55746e+07,17587.4,9.41421e+08,17978.8,47.5875,52186,2.2926e+07,9025.12,2.4125,2645.63,0.0414,0.3494,0.0789,0.0246,0.9800,0.8877,0.9600,0.9800
0.0518589,0.114442,green_club,0.4729,0.2986,0.7715,0.750,8.04723e+08,4.63425e+06,73949.3,1.06687e+09,2.66853e+08,2.13483e+08,5.33707e+07,14676.3,7.41837e+08,15213.1,38.5812,42309.5,6.28862e+07,7078.78,11.4188,12522.2,0.0505,0.8775,0.1833,0.0830,0.9800,0.1951,0.9308,0.9800
0.0658069,0.114442,green_club,0.5712,0.2369,0.8081,0.750,8.38634e+08,4.59067e+06,64058.2,1.06219e+09,2.28213e+08,1.8257e+08,4.56425e+07,15294.7,7.82566e+08,15821.7,40.4062,44310.8,5.60683e+07,6925.19,9.59375,10520.8,0.0872,0.7799,0.0402,0.0404,0.9800,0.2924,0.9800,0.9800
0.0835064,0.114442,green_club,0.3938,0.3558,0.7496,0.500,7.47417e+08,4.63253e+06,127214,1.06632e+09,3.23661e+08,2.58929e+08,6.47322e+07,13631.1,6.62954e+08,14596.1,37.4688,41089.5,8.44628e+07,6787.65,12.5312,13742.2,0.0984,0.7655,0.4570,0.1024,0.9631,0.3274,0.7363,0.9716
0.105966,0.114442,green_club,0.4259,0.3247,0.7506,0.750,7.63165e+08,4.61516e+06,94295,1.06428e+09,3.05823e+08,2.44658e+08,6.11646e+07,13918.3,6.79945e+08,14646.6,37.525,41151.2,8.32203e+07,7847.14,12.475,13680.5,0.0976,0.8004,0.1282,0.2725,0.9349,0.2466,0.9651,0.8559
0.134467,0.114442,green_club,0.4997,0.2800,0.7796,0.750,8.09221e+08,4.59464e+06,77302,1.0622e+09,2.57652e+08,2.06122e+08,5.15305e+07,14758.3,7.40134e+08,15612.1,38.975,42741.3,6.90864e+07,8045.39,11.025,12090.4,0.1787,0.7996,0.0461,0.0954,0.8933,0.2687,0.9800,0.9764
0.170634,0.114442,transitional,-0.1066,0.5913,0.4846,0.250,5.00791e+08,4.98315e+06,142446,1.10514e+09,6.09478e+08,4.87582e+08,1.21896e+08,9133.24,3.45043e+08,10443.5,24.2313,26572.8,1.55747e+08,6471.08,25.7687,28258.9,0.6388,0.8577,0.1724,0.6962,0.4453,0.2003,0.9408,0.3521
0.216527,0.114442,transitional,-0.0073,0.5403,0.5330,0.250,5.47488e+08,4.91452e+06,133179,1.09754e+09,5.55104e+08,4.44083e+08,1.11021e+08,9984.9,4.02939e+08,11743.8,26.6625,29239,1.4455e+08,7282.58,23.3375,25592.7,0.5432,0.9372,0.1819,0.4987,0.5222,0.0760,0.9180,0.6158
0.274765,0.114442,transitional,-0.0874,0.5678,0.4805,0.250,5.10899e+08,4.9567e+06,115068,1.10171e+09,5.95879e+08,4.76703e+08,1.19176e+08,9317.59,3.46899e+08,10933.1,24.0312,26353.5,1.64e+08,6526.58,25.9688,28478.2,0.2917,0.9516,0.5903,0.4378,0.7373,0.0502,0.5238,0.6106
0.348666,0.114442,race_to_bottom,-0.3070,0.6686,0.3616,0.250,4.42827e+08,5.16221e+06,97286.7,1.12505e+09,6.87484e+08,5.49987e+08,1.37497e+08,8076.11,2.74568e+08,9219.93,18.0813,19828.5,1.68259e+08,6179.04,31.9188,35003.2,0.7557,0.9687,0.1356,0.8146,0.3375,0.0089,0.8718,0.2283
0.442443,0.114442,race_to_bottom,-0.0611,0.5461,0.4850,0.250,5.43723e+08,4.979e+06,83809.9,1.10452e+09,5.65858e+08,4.52687e+08,1.13172e+08,9916.22,3.98643e+08,12263.7,24.25,26593.4,1.4508e+08,6467.39,25.75,28238.3,0.3834,0.9679,0.6967,0.1362,0.6521,0.0242,0.3297,0.9339
0.561443,0.114442,green_club,-0.0319,0.5458,0.5140,0.500,5.4805e+08,4.91067e+06,95688.1,1.09607e+09,5.53026e+08,4.42421e+08,1.10605e+08,9995.14,3.99945e+08,11684.5,25.6875,28169.8,1.48105e+08,6697.22,24.3125,26661.9,0.2910,0.9287,0.7231,0.2406,0.8096,0.0711,0.3694,0.8059
0.71245,0.114442,race_to_bottom,-0.5772,0.7936,0.2164,0.000,3.14222e+08,5.3824e+06,84463,1.14936e+09,8.40603e+08,6.72482e+08,1.68121e+08,5730.66,1.09514e+08,8397.65,10.8625,11912.2,2.04707e+08,4896.84,39.1375,42919.5,0.5708,0.9198,0.8101,0.8736,0.4205,0.0858,0.1709,0.1884
0.904071,0.114442,transitional,-0.2173,0.6397,0.4225,0.000,4.48351e+08,5.05115e+06,118004,1.11188e+09,6.68702e+08,5.34962e+08,1.3374e+08,8176.86,2.6829e+08,10581.7,21.1313,23173.2,1.80061e+08,6343.89,28.8687,31658.4,0.6350,0.9412,0.4167,0.5660,0.4239,0.0745,0.7102,0.4813
1.14723,0.114442,race_to_bottom,-0.3727,0.7052,0.3325,0.000,3.92656e+08,5.18973e+06,103459,1.1275e+09,7.40138e+08,5.92111e+08,1.48028e+08,7161.12,2.05092e+08,9472.9,16.6375,18245.2,1.87564e+08,5670.04,33.3625,36586.4,0.5557,0.9347,0.4429,0.8876,0.4406,0.0979,0.6488,0.1429
1.45579,0.114442,race_to_bottom,-0.4814,0.7605,0.2791,0.000,3.49005e+08,5.28751e+06,98370.2,1.13816e+09,7.94541e+08,6.35633e+08,1.58908e+08,6365.03,1.50441e+08,7830.58,13.9938,15346,1.98564e+08,5292.59,36.0063,39485.6,0.8624,0.9386,0.7322,0.5089,0.1641,0.0667,0.3574,0.5284
1.84734,0.114442,race_to_bottom,-0.5967,0.8268,0.2301,0.000,3.03416e+08,5.39911e+06,95151.2,1.15069e+09,8.52769e+08,6.82215e+08,1.70554e+08,5533.58,9.48434e+07,6585.29,11.5,12611.3,2.08572e+08,5031.75,38.5,42220.4,0.8145,0.9509,0.8699,0.6719,0.2248,0.0975,0.1952,0.4030
2.3442,0.114442,race_to_bottom,-0.6478,0.8318,0.1840,0.000,3.03138e+08,5.45835e+06,68738.1,1.1578e+09,8.60193e+08,6.88155e+08,1.72039e+08,5528.52,1.04304e+08,8481.02,9.2125,10102.7,1.98834e+08,4852.47,40.7875,44728.9,0.9306,0.9913,0.9517,0.4536,0.1302,0.0200,0.0338,0.5520
2.9747,0.114442,race_to_bottom,-0.5527,0.7922,0.2395,0.000,3.2425e+08,5.34287e+06,98893.8,1.14473e+09,8.25926e+08,6.60741e+08,1.65185e+08,5913.55,1.22217e+08,8440.95,12.0062,13166.5,2.02033e+08,5042.6,37.9937,41665.2,0.9169,0.9121,0.5653,0.7744,0.0953,0.1243,0.4738,0.2646
3.77478,0.114442,race_to_bottom,-0.1933,0.6186,0.4254,0.250,4.70287e+08,5.0502e+06,90122.9,1.11163e+09,6.46485e+08,5.17188e+08,1.29297e+08,8576.93,3.02455e+08,10153.3,21.25,23303.5,1.67832e+08,7267.5,28.75,31528.2,0.7570,0.9429,0.1636,0.6109,0.2038,0.1070,0.9213,0.4694
4.79005,0.114442,race_to_bottom,-0.6279,0.8119,0.1841,0.000,3.03906e+08,5.40646e+06,60627.5,1.15186e+09,8.53419e+08,6.82735e+08,1.70684e+08,5542.53,9.91522e+07,7447.09,9.20625,10095.9,2.04754e+08,4772.21,40.7938,44735.8,0.9676,0.9797,0.6511,0.6494,0.0207,0.0200,0.3688,0.3268
6.07839,0.114442,race_to_bottom,-0.6478,0.8437,0.1959,0.000,2.84215e+08,5.38959e+06,99685.2,1.14979e+09,8.71064e+08,6.96851e+08,1.74213e+08,5183.41,7.76139e+07,6794.82,9.8,10747,2.06601e+08,4766.58,40.2,44084.7,0.8367,0.9148,0.7175,0.9059,0.1884,0.0748,0.3467,0.1736
7.71324,0.114442,race_to_bottom,-0.4675,0.7510,0.2835,0.000,3.41201e+08,5.19771e+06,119454,1.1286e+09,7.9272e+08,6.34176e+08,1.58544e+08,6222.71,1.40591e+08,6918.81,14.1688,15537.9,2.00611e+08,5419.31,35.8313,39293.7,0.8223,0.9699,0.5223,0.6895,0.1946,0.0771,0.5508,0.3116
9.7878,0.114442,race_to_bottom,-0.5029,0.7834,0.2805,0.000,3.3254e+08,5.17084e+06,133822,1.12527e+09,7.98034e+08,6.38427e+08,1.59607e+08,6064.74,1.30291e+08,7116.49,14.0188,15373.4,2.02249e+08,5388.36,35.9812,39458.2,0.8551,0.9662,0.6857,0.6264,0.1555,0.0769,0.4694,0.4202
12.4203,0.114442,race_to_bottom,-0.4551,0.7181,0.2630,0.000,3.48412e+08,5.10839e+06,96604.9,1.11846e+09,7.7525e+08,6.202e+08,1.5505e+08,6354.21,1.31442e+08,8463.76,13.1438,14413.9,2.1697e+08,5573.94,36.8562,40417.8,0.5814,0.7971,0.9164,0.5774,0.3973,0.1734,0.0806,0.4007
15.7609,0.114442,transitional,0.1043,0.3652,0.4695,0.000,6.41757e+08,4.53216e+06,68759.2,1.05299e+09,4.15837e+08,3.3267e+08,8.31675e+07,11704.1,3.65579e+08,14248.6,23.4813,25750.3,2.76178e+08,9517.1,26.5187,29081.3,0.4015,0.3775,0.3883,0.2936,0.5175,0.4006,0.4653,0.4946
20,0.114442,green_club,0.4649,0.2082,0.6732,0.750,8.05935e+08,4.3328e+06,47366.3,1.03048e+09,2.28923e+08,1.83138e+08,4.57846e+07,14698.4,6.07442e+08,16252.6,33.6625,36915.4,1.98493e+08,11536.3,16.3375,17916.2,0.1701,0.3342,0.1893,0.1393,0.7754,0.4394,0.6732,0.8047
0.02,0.13097,green_club,0.9162,0.0597,0.9759,1.000,1.00895e+09,4.37958e+06,29631,1.03899e+09,3.44495e+07,2.75596e+07,6.8899e+06,18400.8,9.98935e+08,18667.2,48.7938,53508.8,1.00117e+07,7568.26,1.20625,1322.81,0.0826,0.0520,0.0364,0.0679,0.9636,0.9800,0.9800,0.9800
0.0253792,0.13097,green_club,0.9047,0.0537,0.9584,1.000,1.00185e+09,4.39179e+06,23401.9,1.04043e+09,4.29917e+07,3.43934e+07,8.59834e+06,18271.4,9.81978e+08,18676.2,47.9312,52563,1.98749e+07,8135.06,2.06875,2268.66,0.0766,0.0447,0.0389,0.0545,0.8936,0.9800,0.9800,0.9800
0.0322052,0.13097,green_club,0.8987,0.0771,0.9758,1.000,1.00198e+09,4.36602e+06,41925.4,1.03734e+09,3.97643e+07,3.18115e+07,7.95286e+06,18273.8,9.91651e+08,18532.8,48.7875,53502,1.03305e+07,7627,1.2125,1329.67,0.0576,0.1688,0.0364,0.0458,0.9698,0.9736,0.9800,0.9800
0.0408672,0.13097,green_club,0.5453,0.2461,0.7914,0.750,8.33229e+08,4.62937e+06,56947.2,1.06656e+09,2.38021e+08,1.90416e+08,4.76041e+07,15196.1,7.75752e+08,15677.2,39.575,43399.3,5.74771e+07,7770.74,10.425,11432.4,0.0573,0.8607,0.0272,0.0394,0.9761,0.2295,0.9800,0.9800
0.0518589,0.13097,green_club,0.7982,0.1350,0.9331,0.750,9.45657e+08,4.40316e+06,66948.3,1.04135e+09,1.00163e+08,8.01301e+07,2.00325e+07,17246.5,9.14241e+08,17756.1,46.6562,51164.8,3.14157e+07,8795.48,3.34375,3666.87,0.0304,0.1312,0.0317,0.3467,0.9800,0.9582,0.9800,0.8144
0.0658069,0.13097,green_club,0.9365,0.0435,0.9800,1.000,1.0176e+09,4.3755e+06,17583.9,1.03849e+09,2.52856e+07,2.02285e+07,5.05712e+06,18558.7,1.00922e+09,18781.4,49,53735,8.38224e+06,7643.61,1,1096.63,0.0468,0.0345,0.0542,0.0385,0.9800,0.9800,0.9800,0.9800
0.0835064,0.13097,green_club,0.8584,0.0916,0.9499,1.000,9.74467e+08,4.37829e+06,40003.7,1.03853e+09,6.84843e+07,5.47874e+07,1.36969e+07,17772,9.4894e+08,18190.1,47.5,52090.1,2.55264e+07,8949.8,2.5,2741.58,0.1777,0.1279,0.0324,0.0284,0.8962,0.9435,0.9800,0.9800
