phi,delta_loc,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,s_seed0,s_seed1,s_seed2,s_seed3
2068.97,200,race_to_bottom,-0.9809,0.9959,0.0150,0.000,1.45185e+09,5.76234e+06,21522.7,1.64411e+09,1.98047e+08,1.58437e+08,3.96094e+07,26478.3,1.80004e+07,21841.8,0.75,822.475,1.43385e+09,26548,49.25,54009.2,1.0000,0.9998,0.9840,0.9999,0.0000,0.0000,0.0200,0.0400
2155.17,200,race_to_bottom,-0.9809,0.9959,0.0150,0.000,1.52036e+09,5.76234e+06,21522.7,1.71262e+09,1.98047e+08,1.58437e+08,3.96094e+07,27727.7,1.88316e+07,22836.8,0.75,822.475,1.50152e+09,27801,49.25,54009.2,1.0000,0.9998,0.9840,0.9999,0.0000,0.0000,0.0200,0.0400
2241.38,200,race_to_bottom,-0.9809,0.9959,0.0150,0.000,1.58886e+09,5.76234e+06,21522.7,1.78112e+09,1.98047e+08,1.58437e+08,3.96094e+07,28977.1,1.96628e+07,23831.8,0.75,822.475,1.5692e+09,29054,49.25,54009.2,1.0000,0.9998,0.9840,0.9999,0.0000,0.0000,0.0200,0.0400
2327.59,200,race_to_bottom,-0.9809,0.9959,0.0150,0.000,1.65736e+09,5.76234e+06,21522.7,1.84963e+09,1.98047e+08,1.58437e+08,3.96094e+07,30226.4,2.04939e+07,24826.8,0.75,822.475,1.63687e+09,30306.9,49.25,54009.2,1.0000,0.9998,0.9840,0.9999,0.0000,0.0000,0.0200,0.0400
2413.79,200,race_to_bottom,-0.9809,0.9959,0.0150,0.000,1.72587e+09,5.76234e+06,21522.7,1.91813e+09,1.98047e+08,1.58437e+08,3.96094e+07,31475.8,2.13251e+07,25821.9,0.75,822.475,1.70454e+09,31559.9,49.25,54009.2,1.0000,0.9998,0.9840,0.9999,0.0000,0.0000,0.0200,0.0400
2500,200,race_to_bottom,-0.9809,0.9959,0.0150,0.000,1.79437e+09,5.76234e+06,21522.7,1.98664e+09,1.98047e+08,1.58437e+08,3.96094e+07,32725.1,2.21563e+07,26816.9,0.75,822.475,1.77222e+09,32812.9,49.25,54009.2,1.0000,0.9998,0.9840,0.9999,0.0000,0.0000,0.0200,0.0400
0,244.828,green_club,0.9597,0.0203,0.9800,1.000,376904,4.35119e+06,6388.71,0,3.98067e+06,3.18454e+06,796134,6.87384,2.95764e+06,55.0412,49,53735,-2.58074e+06,-2353.33,1,1096.63,0.0304,0.0150,0.0195,0.0164,0.9800,0.9800,0.9800,0.9800
86.2069,244.828,green_club,0.9617,0.0183,0.9800,1.000,6.00511e+07,4.34865e+06,4848.76,5.94785e+07,3.78089e+06,3.02471e+06,756178,1095.19,6.1332e+07,1141.38,49,53735,-1.28088e+06,-1168.01,1,1096.63,0.0221,0.0150,0.0195,0.0164,0.9800,0.9800,0.9800,0.9800
172.414,244.828,green_club,0.9617,0.0183,0.9800,1.000,1.1953e+08,4.34865e+06,4848.76,1.18957e+08,3.78089e+06,3.02471e+06,756178,2179.94,1.19545e+08,2224.72,49,53735,-15854.1,-14.4571,1,1096.63,0.0221,0.0150,0.0195,0.0164,0.9800,0.9800,0.9800,0.9800
258.621,244.828,green_club,0.9627,0.0173,0.9800,1.000,1.79353e+08,4.3499e+06,4431.9,1.78465e+08,3.46642e+06,2.77314e+06,693285,3270.97,1.77899e+08,3310.68,49,53735,1.45349e+06,1325.41,1,1096.63,0.0182,0.0150,0.0195,0.0164,0.9800,0.9800,0.9800,0.9800
344.828,244.828,green_club,0.9184,0.0454,0.9638,1.000,2.31097e+08,4.34002e+06,23522.2,2.37666e+08,1.09332e+07,8.74659e+06,2.18665e+06,4214.66,2.26869e+08,4287.95,48.2,52857.7,4.22773e+06,2229.29,1.8,1973.94,0.1131,0.0238,0.0251,0.0197,0.9152,0.9800,0.9800,0.9800
431.034,244.828,race_to_bottom,-0.9669,0.9946,0.0277,0.000,1.0583e+08,5.73968e+06,41411.5,3.41775e+08,2.41727e+08,1.93381e+08,4.83453e+07,1930.08,2.58426e+06,1676.62,1.39375,1528.43,1.03245e+08,1937.68,48.6063,53303.2,1.0000,1.0000,0.9784,0.9999,0.0000,0.0000,0.0709,0.0400
517.241,244.828,race_to_bottom,-0.9816,0.9966,0.0150,0.000,1.74387e+08,5.76308e+06,21522.7,4.11055e+08,2.42452e+08,1.93962e+08,4.84905e+07,3180.41,2.58506e+06,3455.08,0.75,822.475,1.71802e+08,3181,49.25,54009.2,1.0000,1.0000,0.9866,0.9999,0.0000,0.0000,0.0200,0.0400
603.448,244.828,race_to_bottom,-0.9815,0.9965,0.0150,0.000,2.42891e+08,5.76284e+06,21522.7,4.79554e+08,2.42447e+08,1.93958e+08,4.84894e+07,4429.76,3.41627e+06,4450.12,0.75,822.475,2.39475e+08,4433.97,49.25,54009.2,1.0000,0.9999,0.9866,0.9994,0.0000,0.0000,0.0200,0.0400
689.655,244.828,race_to_bottom,-0.9763,0.9966,0.0203,0.000,3.11113e+08,5.7535e+06,31497.9,5.47547e+08,2.42219e+08,1.93775e+08,4.84438e+07,5673.97,5.46207e+06,5376.1,1.01875,1117.2,3.05651e+08,5690.45,48.9813,53714.5,1.0000,1.0000,0.9866,1.0000,0.0000,0.0000,0.0200,0.0613
775.862,244.828,race_to_bottom,-0.9816,0.9966,0.0150,0.000,3.79895e+08,5.76276e+06,21522.7,6.16551e+08,2.4244e+08,1.93952e+08,4.8488e+07,6928.39,5.07857e+06,6440.08,0.75,822.475,3.74817e+08,6939.85,49.25,54009.2,1.0000,1.0000,0.9866,1.0000,0.0000,0.0000,0.0200,0.0400
862.069,244.828,race_to_bottom,-0.9816,0.9966,0.0150,0.000,4.48401e+08,5.76276e+06,21522.7,6.85056e+08,2.4244e+08,1.93952e+08,4.8488e+07,8177.77,5.90974e+06,7435.08,0.75,822.475,4.42491e+08,8192.86,49.25,54009.2,1.0000,1.0000,0.9866,1.0000,0.0000,0.0000,0.0200,0.0400
948.276,244.828,race_to_bottom,-0.9816,0.9966,0.0150,0.000,5.16906e+08,5.76276e+06,21522.7,7.53562e+08,2.4244e+08,1.93952e+08,4.8488e+07,9427.15,6.74092e+06,8430.09,0.75,822.475,5.10166e+08,9445.86,49.25,54009.2,1.0000,1.0000,0.9866,1.0000,0.0000,0.0000,0.0200,0.0400
